Territorialidade,Posicao IDHM,IDHM,Posi  o IDHM Renda,IDHM Renda,Posi  o IDHM Educa  o,IDHM Educa  o,Posi  o IDHM Longevidade,IDHM Longevidade,Posi  o Mulheres,IDHM Mulheres,Posi  o Homens,IDHM Homens,Posi  o Negros,IDHM Negros,Posi  o Brancos,IDHM Brancos,Posi  o Urbano,IDHM Urbano,Posi  o Rural,IDHM Rural
Sabin polis (MG),3333,0.638,3068,0.637,3943,0.502,2562,0.812,,,,,,,,,,,,
Beberibe (CE),3333,0.638,3876,0.585,2531,0.571,3831,0.778,,,,,,,,,,,,
Bandeirantes do Tocantins (TO),3333,0.638,4201,0.57,2531,0.571,3252,0.797,,,,,,,,,,,,
Bernardo Say o (TO),3333,0.638,3538,0.606,2490,0.573,4794,0.748,,,,,,,,,,,,
Ibirapuit  (RS),3333,0.638,2212,0.678,4631,0.463,1747,0.828,,,,,,,,,,,,
S o Domingos das Dores (MG),3333,0.638,3590,0.602,3223,0.539,3129,0.8,,,,,,,,,,,,
Moeda (MG),3333,0.638,2709,0.657,4081,0.494,3129,0.8,,,,,,,,,,,,
Cara bas (RN),3333,0.638,3716,0.594,2866,0.556,3629,0.786,,,,,,,,,,,,
Rio Maria (PA),3333,0.638,2822,0.651,4066,0.495,2940,0.804,,,,,,,,,,,,
Goianinha (RN),3333,0.638,3334,0.619,3249,0.537,3690,0.783,,,,,,,,,,,,
Carbonita (MG),3333,0.638,3368,0.617,3402,0.529,3292,0.796,,,,,,,,,,,,
Wanderl ndia (TO),3333,0.638,3334,0.619,2757,0.561,4794,0.748,,,,,,,,,,,,
S o Francisco (MG),3333,0.638,3695,0.595,3163,0.542,2940,0.804,,,,,,,,,,,,
Umburatiba (MG),3333,0.638,3637,0.599,3368,0.531,2407,0.815,,,,,,,,,,,,
Ministro Andreazza (RO),3333,0.638,2883,0.647,3634,0.518,3897,0.776,,,,,,,,,,,,
S o Jo o Evangelista (MG),3333,0.638,3322,0.62,3593,0.52,2849,0.806,,,,,,,,,,,,
Ja ba (MG),3333,0.638,3334,0.619,3368,0.531,3540,0.789,,,,,,,,,,,,
Alto Paraguai (MT),3333,0.638,3454,0.612,3183,0.541,3670,0.784,,,,,,,,,,,,
Joaquim Fel cio (MG),3357,0.637,2984,0.642,4183,0.489,1951,0.824,,,,,,,,,,,,
Apu  (AM),3357,0.637,3304,0.621,3207,0.54,4064,0.772,,,,,,,,,,,,
S o Jer nimo da Serra (PR),3357,0.637,3235,0.626,3925,0.503,2064,0.822,,,,,,,,,,,,
Santo Amaro das Brotas (SE),3357,0.637,3437,0.613,3137,0.543,3831,0.778,,,,,,,,,,,,
Paracuru (CE),3357,0.637,3664,0.597,2322,0.581,4860,0.746,,,,,,,,,,,,
Santa B rbara do Tug rio (MG),3357,0.637,3386,0.616,3658,0.517,2661,0.81,,,,,,,,,,,,
Orat rios (MG),3357,0.637,3220,0.627,3979,0.5,1951,0.824,,,,,,,,,,,,
Cap o do Le o (RS),3357,0.637,2613,0.662,4332,0.48,2453,0.814,,,,,,,,,,,,
Santa Terezinha do Tocantins (TO),3357,0.637,3908,0.583,2266,0.584,4509,0.758,,,,,,,,,,,,
Valente (BA),3357,0.637,3279,0.623,2600,0.568,5160,0.729,,,,,,,,,,,,
Bonfim (MG),3357,0.637,2448,0.669,4614,0.464,1464,0.834,,,,,,,,,,,,
Irupi (ES),3357,0.637,2685,0.658,4095,0.493,3214,0.798,,,,,,,,,,,,
Pinheiro (MA),3357,0.637,3998,0.579,2352,0.579,4100,0.771,,,,,,,,,,,,
Itaperu u (PR),3357,0.637,2767,0.654,3847,0.507,3775,0.779,,,,,,,,,,,,
Cap o Bonito do Sul (RS),3357,0.637,2767,0.654,3847,0.507,3775,0.779,,,,,,,,,,,,
Paula C ndido (MG),3357,0.637,3140,0.632,4026,0.497,1987,0.823,,,,,,,,,,,,
Guaramiranga (CE),3357,0.637,4073,0.576,1766,0.61,5049,0.736,,,,,,,,,,,,
Itanh m (BA),3357,0.637,3261,0.624,3480,0.525,3511,0.79,,,,,,,,,,,,
Pedro Teixeira (MG),3357,0.637,3834,0.587,2888,0.555,3362,0.794,,,,,,,,,,,,
Cacul  (BA),3357,0.637,3304,0.621,3183,0.541,4168,0.769,,,,,,,,,,,,
Guarani de Goi s (GO),3357,0.637,4226,0.569,2844,0.557,2453,0.814,,,,,,,,,,,,
Felipe Guerra (RN),3378,0.636,3934,0.582,2457,0.575,4204,0.768,,,,,,,,,,,,
Uira na (PB),3378,0.636,3454,0.612,3419,0.528,3252,0.797,,,,,,,,,,,,
Sardo  (MG),3378,0.636,3716,0.594,3328,0.533,2562,0.812,,,,,,,,,,,,
Dores de Guanh es (MG),3378,0.636,3454,0.612,3753,0.512,2112,0.821,,,,,,,,,,,,
Espig o Alto do Igua u (PR),3378,0.636,3140,0.632,3571,0.521,3726,0.781,,,,,,,,,,,,
Tijucas do Sul (PR),3378,0.636,2182,0.679,4351,0.479,3428,0.792,,,,,,,,,,,,
Or s (CE),3378,0.636,3934,0.582,2844,0.557,3400,0.793,,,,,,,,,,,,
Olaria (MG),3378,0.636,3048,0.638,4163,0.49,1987,0.823,,,,,,,,,,,,
Ibotirama (BA),3378,0.636,3607,0.601,3029,0.548,3751,0.78,,,,,,,,,,,,
Curion polis (PA),3378,0.636,3753,0.592,3270,0.536,2696,0.809,,,,,,,,,,,,
Retirol ndia (BA),3378,0.636,3998,0.579,2475,0.574,4028,0.773,,,,,,,,,,,,
Nova Lacerda (MT),3378,0.636,2971,0.643,4241,0.485,1905,0.825,,,,,,,,,,,,
S o Jos  do Cerrito (SC),3378,0.636,3354,0.618,3925,0.503,1798,0.827,,,,,,,,,,,,
Almas (TO),3378,0.636,3386,0.616,3502,0.524,3292,0.796,,,,,,,,,,,,
Pindoretama (CE),3378,0.636,3955,0.581,2185,0.588,4625,0.754,,,,,,,,,,,,
Terra Santa (PA),3393,0.635,3590,0.602,2816,0.558,4366,0.763,,,,,,,,,,,,
Surubim (PE),3393,0.635,3368,0.617,3029,0.548,4579,0.756,,,,,,,,,,,,
Cantagalo (PR),3393,0.635,3048,0.638,3549,0.522,4204,0.768,,,,,,,,,,,,
Martins Soares (MG),3393,0.635,3334,0.619,3753,0.512,2696,0.809,,,,,,,,,,,,
Santa Cruz (RN),3393,0.635,3664,0.597,2690,0.564,4430,0.761,,,,,,,,,,,,
Oliveira Fortes (MG),3393,0.635,3386,0.616,3522,0.523,3362,0.794,,,,,,,,,,,,
Cand i (PR),3393,0.635,2747,0.655,3925,0.503,3831,0.778,,,,,,,,,,,,
S o Jos  do Egito (PE),3393,0.635,3590,0.602,2908,0.554,4168,0.769,,,,,,,,,,,,
Pacoti (CE),3393,0.635,4180,0.571,2338,0.58,4028,0.773,,,,,,,,,,,,
Tibau (RN),3393,0.635,3220,0.627,3388,0.53,4168,0.769,,,,,,,,,,,,
Piripiri (PI),3393,0.635,3304,0.621,3328,0.533,3948,0.775,,,,,,,,,,,,
Chapada Ga cha (MG),3393,0.635,4137,0.573,3078,0.546,2161,0.82,,,,,,,,,,,,
Seabra (BA),3393,0.635,3817,0.588,2509,0.572,4430,0.761,,,,,,,,,,,,
Itueta (MG),3393,0.635,3021,0.64,4241,0.485,1905,0.825,,,,,,,,,,,,
Taguatinga (TO),3407,0.634,3204,0.628,4026,0.497,2259,0.818,,,,,,,,,,,,
Santa Maria do Tocantins (TO),3407,0.634,3623,0.6,3137,0.543,3670,0.784,,,,,,,,,,,,
Vila Prop cio (GO),3407,0.634,3190,0.629,3883,0.505,3026,0.802,,,,,,,,,,,,
Gravat  (PE),3407,0.634,3173,0.63,3792,0.51,3362,0.794,,,,,,,,,,,,
S o Jo o da Lagoa (MG),3407,0.634,4089,0.575,3078,0.546,2504,0.813,,,,,,,,,,,,
Itamb  do Mato Dentro (MG),3407,0.634,3550,0.605,3737,0.513,1987,0.823,,,,,,,,,,,,
Vargem Grande do Rio Pardo (MG),3407,0.634,4376,0.563,2798,0.559,2611,0.811,,,,,,,,,,,,
Carana ba (MG),3407,0.634,3734,0.593,3328,0.533,2805,0.807,,,,,,,,,,,,
Oeiras (PI),3407,0.634,3334,0.619,3053,0.547,4661,0.753,,,,,,,,,,,,
Serrinha (BA),3407,0.634,3403,0.615,3348,0.532,3831,0.778,,,,,,,,,,,,
Gramado Xavier (RS),3407,0.634,2119,0.681,4463,0.473,3428,0.792,,,,,,,,,,,,
Pombal (PB),3407,0.634,3190,0.629,3696,0.515,3594,0.787,,,,,,,,,,,,
Concei  o da Feira (BA),3407,0.634,3538,0.606,3029,0.548,4272,0.766,,,,,,,,,,,,
Itagimirim (BA),3407,0.634,3590,0.602,3675,0.516,2112,0.821,,,,,,,,,,,,
Porto Firme (MG),3407,0.634,3403,0.615,3675,0.516,2940,0.804,,,,,,,,,,,,
Mundo Novo (GO),3407,0.634,2984,0.642,4201,0.488,2562,0.812,,,,,,,,,,,,
Paraipaba (CE),3407,0.634,4116,0.574,1921,0.602,5008,0.738,,,,,,,,,,,,
Concei  o do Mato Dentro (MG),3407,0.634,3293,0.622,3658,0.517,3362,0.794,,,,,,,,,,,,
Carolina (MA),3407,0.634,3623,0.6,3402,0.529,3026,0.802,,,,,,,,,,,,
Santa Rita do Novo Destino (GO),3407,0.634,3034,0.639,4216,0.487,2161,0.82,,,,,,,,,,,,
Nova Roma (GO),3407,0.634,3716,0.594,3402,0.529,2562,0.812,,,,,,,,,,,,
Tuparetama (PE),3407,0.634,3454,0.612,2844,0.557,4770,0.749,,,,,,,,,,,,
Lagoa dos Patos (MG),3407,0.634,3734,0.593,2866,0.556,4028,0.773,,,,,,,,,,,,
Novo Horizonte do Oeste (RO),3407,0.634,3538,0.606,3434,0.527,3167,0.799,,,,,,,,,,,,
Itambacuri (MG),3407,0.634,3386,0.616,3434,0.527,3670,0.784,,,,,,,,,,,,
Entre Folhas (MG),3407,0.634,3368,0.617,3571,0.521,3428,0.792,,,,,,,,,,,,
Pindar -Mirim (MA),3433,0.633,4243,0.568,2111,0.592,4602,0.755,,,,,,,,,,,,
Santana da Boa Vista (RS),3433,0.633,3173,0.63,3925,0.503,3026,0.802,,,,,,,,,,,,
Bom Jesus da Lapa (BA),3433,0.633,3403,0.615,3328,0.533,3948,0.775,,,,,,,,,,,,
Groa ras (CE),3433,0.633,3876,0.585,1995,0.598,5241,0.724,,,,,,,,,,,,
Tau  (CE),3433,0.633,3876,0.585,2776,0.56,4028,0.773,,,,,,,,,,,,
Farias Brito (CE),3433,0.633,4876,0.541,1857,0.605,3987,0.774,,,,,,,,,,,,
Aral Moreira (MS),3433,0.633,3204,0.628,3847,0.507,3214,0.798,,,,,,,,,,,,
Serran polis de Minas (MG),3433,0.633,3506,0.608,3223,0.539,4028,0.773,,,,,,,,,,,,
Alto Parna ba (MA),3433,0.633,2061,0.683,4447,0.474,3649,0.785,,,,,,,,,,,,
Caiana (MG),3433,0.633,3155,0.631,4272,0.483,1515,0.833,,,,,,,,,,,,
Uruc nia (MG),3433,0.633,3204,0.628,4007,0.498,2611,0.811,,,,,,,,,,,,
Minas Novas (MG),3433,0.633,3623,0.6,3419,0.528,3026,0.802,,,,,,,,,,,,
Santo Ant nio do Grama (MG),3433,0.633,3235,0.626,4095,0.493,1987,0.823,,,,,,,,,,,,
Itapissuma (PE),3433,0.633,3796,0.589,2690,0.564,4329,0.764,,,,,,,,,,,,
Tarumirim (MG),3433,0.633,3419,0.614,3988,0.499,1704,0.829,,,,,,,,,,,,
Escada (PE),3448,0.632,3716,0.594,3137,0.543,3726,0.781,,,,,,,,,,,,
Miranda (MS),3448,0.632,3048,0.638,3847,0.507,3704,0.782,,,,,,,,,,,,
Santo Ant nio do Tau  (PA),3448,0.632,3649,0.598,2757,0.561,4661,0.753,,,,,,,,,,,,
S o Sebasti o do Rio Preto (MG),3448,0.632,2613,0.662,4487,0.472,2696,0.809,,,,,,,,,,,,
Simon sia (MG),3448,0.632,3293,0.622,4095,0.493,1987,0.823,,,,,,,,,,,,
Independ ncia (CE),3448,0.632,4425,0.561,2111,0.592,4484,0.759,,,,,,,,,,,,
Dom Macedo Costa (BA),3448,0.632,3649,0.598,3368,0.531,3329,0.795,,,,,,,,,,,,
Bocaina (PI),3448,0.632,3419,0.614,3348,0.532,4028,0.773,,,,,,,,,,,,
Ros rio (MA),3448,0.632,4288,0.566,2111,0.592,4697,0.752,,,,,,,,,,,,
Veredinha (MG),3448,0.632,3998,0.579,2888,0.555,3649,0.785,,,,,,,,,,,,
Silves (AM),3448,0.632,4757,0.546,2266,0.584,3475,0.791,,,,,,,,,,,,
Mato Rico (PR),3448,0.632,3980,0.58,3270,0.536,2562,0.812,,,,,,,,,,,,
Gandu (BA),3448,0.632,2924,0.645,3832,0.508,4100,0.771,,,,,,,,,,,,
C rrego Novo (MG),3448,0.632,3678,0.596,3480,0.525,2899,0.805,,,,,,,,,,,,
Presidente Bernardes (MG),3448,0.632,3576,0.603,3571,0.521,2940,0.804,,,,,,,,,,,,
Cruz (CE),3448,0.632,4137,0.573,2233,0.586,4697,0.752,,,,,,,,,,,,
Jos  Gon alves de Minas (MG),3448,0.632,3664,0.597,2924,0.553,4329,0.764,,,,,,,,,,,,
Lajed o (BA),3448,0.632,2807,0.652,4026,0.497,3831,0.778,,,,,,,,,,,,
Divino de S o Louren o (ES),3448,0.632,3293,0.622,4047,0.496,2216,0.819,,,,,,,,,,,,
Riachinho (MG),3448,0.632,4054,0.577,2967,0.551,3329,0.795,,,,,,,,,,,,
Rodelas (BA),3448,0.632,4288,0.566,2690,0.564,3511,0.79,,,,,,,,,,,,
Vargem Alegre (MG),3469,0.631,3155,0.631,4231,0.486,2216,0.819,,,,,,,,,,,,
Uru u  (PI),3469,0.631,3419,0.614,3675,0.516,3362,0.794,,,,,,,,,,,,
Cantagalo (MG),3469,0.631,3649,0.598,3696,0.515,2357,0.816,,,,,,,,,,,,
Jari (RS),3469,0.631,3079,0.636,4463,0.473,1370,0.836,,,,,,,,,,,,
Senhora de Oliveira (MG),3469,0.631,3576,0.603,3571,0.521,3077,0.801,,,,,,,,,,,,
Redentora (RS),3469,0.631,3538,0.606,3522,0.523,3428,0.792,,,,,,,,,,,,
Sobradinho (BA),3469,0.631,3550,0.605,2888,0.555,4794,0.748,,,,,,,,,,,,
Pend ncias (RN),3469,0.631,3120,0.633,3458,0.526,4661,0.753,,,,,,,,,,,,
Matip  (MG),3469,0.631,3173,0.63,3774,0.511,3751,0.78,,,,,,,,,,,,
Nova Olinda (TO),3469,0.631,3419,0.614,3292,0.535,4304,0.765,,,,,,,,,,,,
Sobr lia (MG),3469,0.631,3465,0.611,3792,0.51,2899,0.805,,,,,,,,,,,,
Ros rio do Catete (SE),3469,0.631,3576,0.603,2531,0.571,5128,0.731,,,,,,,,,,,,
Ichu (BA),3469,0.631,3980,0.58,2729,0.562,4100,0.771,,,,,,,,,,,,
Araguatins (TO),3469,0.631,3562,0.604,3480,0.525,3400,0.793,,,,,,,,,,,,
Marian polis do Tocantins (TO),3469,0.631,3173,0.63,3908,0.504,3428,0.792,,,,,,,,,,,,
Desterro do Melo (MG),3469,0.631,3354,0.618,3925,0.503,2696,0.809,,,,,,,,,,,,
Campina u (GO),3469,0.631,2952,0.644,4409,0.476,2216,0.819,,,,,,,,,,,,
Sinimbu (RS),3469,0.631,1678,0.697,4742,0.456,3428,0.792,,,,,,,,,,,,
Nova M dica (MG),3487,0.63,3478,0.61,3434,0.527,3775,0.779,,,,,,,,,,,,
Acaiaca (MG),3487,0.63,3478,0.61,3988,0.499,1987,0.823,,,,,,,,,,,,
Santa Rita de Ibitipoca (MG),3487,0.63,3247,0.625,3883,0.505,3400,0.793,,,,,,,,,,,,
Campina do Sim o (PR),3487,0.63,3649,0.598,3434,0.527,3428,0.792,,,,,,,,,,,,
Ramil ndia (PR),3487,0.63,3034,0.639,4183,0.489,3026,0.802,,,,,,,,,,,,
Bon polis (GO),3487,0.63,3173,0.63,4201,0.488,2504,0.813,,,,,,,,,,,,
Campos Sales (CE),3487,0.63,3894,0.584,2866,0.556,4168,0.769,,,,,,,,,,,,
Jangada (MT),3487,0.63,4268,0.567,3011,0.549,2899,0.805,,,,,,,,,,,,
Ipiranga do Piau  (PI),3487,0.63,4451,0.56,2293,0.583,4304,0.765,,,,,,,,,,,,
Penedo (AL),3487,0.63,3590,0.602,3270,0.536,3987,0.774,,,,,,,,,,,,
S o Geraldo do Baixio (MG),3487,0.63,3155,0.631,4284,0.482,1951,0.824,,,,,,,,,,,,
Angical do Piau  (PI),3487,0.63,3478,0.61,2888,0.555,5032,0.737,,,,,,,,,,,,
Itinga do Maranh o (MA),3487,0.63,3607,0.601,3100,0.545,4329,0.764,,,,,,,,,,,,
Barra do Mendes (BA),3487,0.63,4023,0.578,2924,0.553,3670,0.784,,,,,,,,,,,,
Bod  (RN),3501,0.629,4201,0.57,2671,0.565,4064,0.772,,,,,,,,,,,,
Nova Cruz (RN),3501,0.629,3796,0.589,3249,0.537,3570,0.788,,,,,,,,,,,,
Piau (MG),3501,0.629,2883,0.647,4572,0.467,1951,0.824,,,,,,,,,,,,
Encanto (RN),3501,0.629,3796,0.589,3270,0.536,3594,0.787,,,,,,,,,,,,
S o Jo o do Triunfo (PR),3501,0.629,2747,0.655,4430,0.475,3077,0.801,,,,,,,,,,,,
Pentecoste (CE),3501,0.629,4403,0.562,1880,0.604,5081,0.734,,,,,,,,,,,,
Governador Edison Lob o (MA),3501,0.629,3796,0.589,2953,0.552,4329,0.764,,,,,,,,,,,,
Bacabeira (MA),3501,0.629,4504,0.558,2338,0.58,4204,0.768,,,,,,,,,,,,
Reduto (MG),3501,0.629,2883,0.647,4332,0.48,3077,0.801,,,,,,,,,,,,
V rzea Alegre (CE),3501,0.629,4226,0.569,2427,0.576,4484,0.759,,,,,,,,,,,,
Itaobim (MG),3501,0.629,3437,0.613,3675,0.516,3594,0.787,,,,,,,,,,,,
Turu u (RS),3501,0.629,2020,0.685,4887,0.446,2453,0.814,,,,,,,,,,,,
Dores do Turvo (MG),3501,0.629,3437,0.613,4163,0.49,1704,0.829,,,,,,,,,,,,
Belo Jardim (PE),3501,0.629,3368,0.617,3716,0.514,3690,0.783,,,,,,,,,,,,
Lassance (MG),3501,0.629,3419,0.614,3774,0.511,3329,0.795,,,,,,,,,,,,
C ndido de Abreu (PR),3501,0.629,2971,0.643,4081,0.494,3690,0.783,,,,,,,,,,,,
Vargem (SC),3501,0.629,3079,0.636,4066,0.495,3511,0.79,,,,,,,,,,,,
Rio Bonito do Igua u (PR),3501,0.629,3155,0.631,4007,0.498,3428,0.792,,,,,,,,,,,,
S o Francisco do Oeste (RN),3519,0.628,3955,0.581,3053,0.547,3775,0.779,,,,,,,,,,,,
Milagres (CE),3519,0.628,4425,0.561,2578,0.569,3871,0.777,,,,,,,,,,,,
Col nia do Gurgu ia (PI),3519,0.628,4023,0.578,2988,0.55,3831,0.778,,,,,,,,,,,,
Acorizal (MT),3519,0.628,3716,0.594,3792,0.51,2357,0.816,,,,,,,,,,,,
Cutias (AP),3519,0.628,4073,0.576,2654,0.566,4452,0.76,,,,,,,,,,,,
Monteiro (PB),3519,0.628,3247,0.625,2816,0.558,5405,0.709,,,,,,,,,,,,
Itacambira (MG),3519,0.628,4201,0.57,2988,0.55,3475,0.791,,,,,,,,,,,,
Serra Branca (PB),3519,0.628,3649,0.598,3249,0.537,4131,0.77,,,,,,,,,,,,
Abaiara (CE),3519,0.628,4903,0.54,1727,0.612,4794,0.748,,,,,,,,,,,,
Santana de Pirapama (MG),3519,0.628,3368,0.617,4095,0.493,2357,0.816,,,,,,,,,,,,
Riach o do Jacu pe (BA),3519,0.628,3817,0.588,2798,0.559,4602,0.755,,,,,,,,,,,,
Jord nia (MG),3519,0.628,3437,0.613,3868,0.506,3252,0.797,,,,,,,,,,,,
Berilo (MG),3519,0.628,3980,0.58,3502,0.524,2357,0.816,,,,,,,,,,,,
Abaetetuba (PA),3519,0.628,3998,0.579,3249,0.537,3214,0.798,,,,,,,,,,,,
Palmeiras do Tocantins (TO),3519,0.628,3853,0.586,3549,0.522,2661,0.81,,,,,,,,,,,,
Cairu (BA),3534,0.627,3623,0.6,3792,0.51,2805,0.807,,,,,,,,,,,,
Cedro (CE),3534,0.627,3753,0.592,2924,0.553,4661,0.753,,,,,,,,,,,,
Cuparaque (MG),3534,0.627,3304,0.621,4026,0.497,3214,0.798,,,,,,,,,,,,
Pe anha (MG),3534,0.627,3173,0.63,4026,0.497,3594,0.787,,,,,,,,,,,,
Itamaraju (BA),3534,0.627,3000,0.641,3943,0.502,4245,0.767,,,,,,,,,,,,
Vale do Para so (RO),3534,0.627,3000,0.641,4241,0.485,3428,0.792,,,,,,,,,,,,
Santa Rita (PB),3534,0.627,3664,0.597,3300,0.534,3987,0.774,,,,,,,,,,,,
Baixio (CE),3534,0.627,4376,0.563,2457,0.575,4366,0.763,,,,,,,,,,,,
Lambari D'Oeste (MT),3534,0.627,2428,0.67,4572,0.467,3594,0.787,,,,,,,,,,,,
Lagoa Seca (PB),3534,0.627,3304,0.621,3675,0.516,4168,0.769,,,,,,,,,,,,
Santa Teresinha (PB),3534,0.627,3853,0.586,3737,0.513,2161,0.82,,,,,,,,,,,,
Espinosa (MG),3534,0.627,3934,0.582,3458,0.526,2940,0.804,,,,,,,,,,,,
Itaverava (MG),3534,0.627,3437,0.613,4047,0.496,2611,0.811,,,,,,,,,,,,
Pav o (MG),3534,0.627,3637,0.599,3847,0.507,2504,0.813,,,,,,,,,,,,
Sum  (PB),3534,0.627,3590,0.602,3300,0.534,4304,0.765,,,,,,,,,,,,
Riacho dos Machados (MG),3534,0.627,4529,0.557,3053,0.547,2754,0.808,,,,,,,,,,,,
Bugre (MG),3534,0.627,3590,0.602,3774,0.511,3129,0.8,,,,,,,,,,,,
Simpl cio Mendes (PI),3534,0.627,3437,0.613,3480,0.525,4245,0.767,,,,,,,,,,,,
S o Gon alo dos Campos (BA),3534,0.627,3079,0.636,3675,0.516,4697,0.752,,,,,,,,,,,,
Pedra Azul (MG),3534,0.627,3678,0.596,3634,0.518,3252,0.797,,,,,,,,,,,,
Axix  do Tocantins (TO),3534,0.627,3695,0.595,2654,0.566,5094,0.733,,,,,,,,,,,,
Lagoa da Confus o (TO),3534,0.627,3173,0.63,4047,0.496,3594,0.787,,,,,,,,,,,,
Santa B rbara do Par  (PA),3534,0.627,4089,0.575,3078,0.546,3670,0.784,,,,,,,,,,,,
Coronel Murta (MG),3534,0.627,4023,0.578,3137,0.543,3670,0.784,,,,,,,,,,,,
Cachoeirinha (TO),3534,0.627,4720,0.548,2157,0.59,4400,0.762,,,,,,,,,,,,
Buriti do Tocantins (TO),3534,0.627,4089,0.575,1945,0.601,5367,0.713,,,,,,,,,,,,
Pequizeiro (TO),3534,0.627,3796,0.589,3634,0.518,2849,0.806,,,,,,,,,,,,
Mendes Pimentel (MG),3561,0.626,3368,0.617,3634,0.518,4204,0.768,,,,,,,,,,,,
Milh  (CE),3561,0.626,4451,0.56,2816,0.558,3670,0.784,,,,,,,,,,,,
Pocrane (MG),3561,0.626,3419,0.614,3979,0.5,3167,0.799,,,,,,,,,,,,
Santo Est v o (BA),3561,0.626,3465,0.611,4007,0.498,2754,0.808,,,,,,,,,,,,
Muribeca (SE),3561,0.626,4089,0.575,2908,0.554,4100,0.771,,,,,,,,,,,,
Olhos-D' gua (MG),3561,0.626,3524,0.607,4007,0.498,2562,0.812,,,,,,,,,,,,
V rzea (RN),3561,0.626,4054,0.577,2953,0.552,4100,0.771,,,,,,,,,,,,
Floresta (PE),3561,0.626,3817,0.588,3239,0.538,3948,0.775,,,,,,,,,,,,
Guamar  (RN),3561,0.626,3140,0.632,3883,0.505,4168,0.769,,,,,,,,,,,,
Tumiritinga (MG),3561,0.626,3403,0.615,4284,0.482,1798,0.827,,,,,,,,,,,,
Joan sia (MG),3561,0.626,3386,0.616,4066,0.495,2990,0.803,,,,,,,,,,,,
Serra da Raiz (PB),3561,0.626,4201,0.57,3122,0.544,3428,0.792,,,,,,,,,,,,
Bonfim (RR),3561,0.626,3664,0.597,3814,0.509,2696,0.809,,,,,,,,,,,,
Mamba  (GO),3561,0.626,3478,0.61,4081,0.494,2357,0.816,,,,,,,,,,,,
Coroaci (MG),3561,0.626,3437,0.613,4095,0.493,2611,0.811,,,,,,,,,,,,
Santa Leopoldina (ES),3561,0.626,2908,0.646,4390,0.477,3252,0.797,,,,,,,,,,,,
Arari (MA),3561,0.626,3834,0.587,3078,0.546,4329,0.764,,,,,,,,,,,,
Pedra Branca do Amapari (AP),3561,0.626,3204,0.628,3943,0.502,3775,0.779,,,,,,,,,,,,
Raposa (MA),3561,0.626,4243,0.568,2210,0.587,5063,0.735,,,,,,,,,,,,
Piedade dos Gerais (MG),3561,0.626,2924,0.645,4793,0.453,1183,0.84,,,,,,,,,,,,
Senhora dos Rem dios (MG),3561,0.626,4023,0.578,3029,0.548,3897,0.776,,,,,,,,,,,,
Reden  o (CE),3561,0.626,4268,0.567,2399,0.577,4758,0.75,,,,,,,,,,,,
Itaitinga (CE),3561,0.626,3908,0.583,3029,0.548,4204,0.768,,,,,,,,,,,,
S o Sebasti o do Oeste (MG),3561,0.626,2212,0.678,5031,0.434,1560,0.832,,,,,,,,,,,,
Coruripe (AL),3561,0.626,3769,0.591,3183,0.541,4168,0.769,,,,,,,,,,,,
Campo Redondo (RN),3561,0.626,4583,0.554,2266,0.584,4509,0.758,,,,,,,,,,,,
Gurj o (PB),3587,0.625,4073,0.576,2322,0.581,5160,0.729,,,,,,,,,,,,
Angical (BA),3587,0.625,4351,0.564,2866,0.556,3831,0.778,,,,,,,,,,,,
Amargosa (BA),3587,0.625,3386,0.616,4116,0.492,2805,0.807,,,,,,,,,,,,
Francisco Dumont (MG),3587,0.625,3678,0.596,3737,0.513,3252,0.797,,,,,,,,,,,,
Lajes Pintadas (RN),3587,0.625,4476,0.559,2600,0.568,4168,0.769,,,,,,,,,,,,
Erv lia (MG),3587,0.625,3021,0.64,4693,0.46,1747,0.828,,,,,,,,,,,,
Nova Olinda (CE),3587,0.625,4268,0.567,2908,0.554,3775,0.779,,,,,,,,,,,,
Ibicara  (BA),3587,0.625,3492,0.609,3502,0.524,4329,0.764,,,,,,,,,,,,
Lagarto (SE),3587,0.625,3437,0.613,3696,0.515,3948,0.775,,,,,,,,,,,,
Br s Pires (MG),3587,0.625,3934,0.582,3522,0.523,3077,0.801,,,,,,,,,,,,
Guimar es (MA),3587,0.625,5008,0.535,2111,0.592,4064,0.772,,,,,,,,,,,,
Medeiros Neto (BA),3587,0.625,3235,0.626,3961,0.501,3871,0.777,,,,,,,,,,,,
Santa Cruz do Escalvado (MG),3587,0.625,3354,0.618,4241,0.485,2407,0.815,,,,,,,,,,,,
Paulistas (MG),3587,0.625,3734,0.593,3571,0.521,3475,0.791,,,,,,,,,,,,
Potiragu  (BA),3587,0.625,3695,0.595,3100,0.545,4625,0.754,,,,,,,,,,,,
Alto Para so (RO),3587,0.625,2562,0.664,4733,0.457,2940,0.804,,,,,,,,,,,,
S o Jo o do Pacu  (MG),3587,0.625,3538,0.606,3908,0.504,3214,0.798,,,,,,,,,,,,
M ncio Lima (AC),3587,0.625,3980,0.58,3078,0.546,4131,0.77,,,,,,,,,,,,
Solon pole (CE),3587,0.625,4322,0.565,2475,0.574,4625,0.754,,,,,,,,,,,,
Caetit  (BA),3587,0.625,3155,0.631,4259,0.484,3077,0.801,,,,,,,,,,,,
Jenipapo de Minas (MG),3607,0.624,3817,0.588,3593,0.52,3400,0.793,,,,,,,,,,,,
Itaj  (RN),3607,0.624,3853,0.586,3223,0.539,4168,0.769,,,,,,,,,,,,
